rdc_u,rdc_rel,rdc_pol,rdc_in
1.0,0.777,0.767,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.765,1.0
1.0,0.777,0.765,1.0
1.0,0.777,0.765,1.0
1.0,0.777,0.765,1.0
0.677,0.777,0.765,1.0
0.512,0.777,0.764,1.0
0.421,0.776,0.764,1.0
0.401,0.759,0.746,1.0
0.378,0.649,0.646,1.0
0.366,0.613,0.608,1.0
0.288,0.611,0.604,0.0
0.0,0.604,0.599,0.0
0.0,0.599,0.59,0.0
0.0,0.586,0.577,0.0
0.0,0.573,0.564,0.0
0.0,0.528,0.52,0.0
0.0,0.381,0.379,0.0
0.0,0.379,0.375,0.0
0.0,0.367,0.364,0.0
0.0,0.344,0.341,0.0
0.0,0.258,0.257,0.0
0.0,0.246,0.246,0.0
0.0,0.24,0.239,0.0
0.0,0.194,0.192,0.0
0.0,0.168,0.168,0.0
0.0,0.166,0.164,0.0
0.0,0.161,0.16,0.0
0.0,0.157,0.156,0.0
0.0,0.151,0.151,0.0
0.0,0.141,0.14,0.0
0.0,0.125,0.122,0.0
0.0,0.114,0.113,0.0
0.0,0.113,0.112,0.0
0.0,0.111,0.111,0.0
0.0,0.111,0.11,0.0
