rdc_u,rdc_rel,rdc_pol,rdc_in
1.0,0.777,0.767,1.0
1.0,0.777,0.767,1.0
1.0,0.777,0.767,1.0
1.0,0.777,0.767,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
0.0,0.777,0.766,1.0
0.0,0.777,0.766,1.0
0.0,0.777,0.766,1.0
0.0,0.777,0.766,1.0
0.0,0.777,0.765,1.0
0.0,0.777,0.765,1.0
0.0,0.777,0.765,1.0
0.0,0.777,0.765,1.0
0.0,0.777,0.765,1.0
0.0,0.776,0.765,1.0
0.0,0.776,0.765,1.0
0.0,0.776,0.764,1.0
0.0,0.776,0.764,1.0
0.0,0.775,0.764,1.0
0.0,0.775,0.764,1.0
0.0,0.774,0.764,1.0
0.0,0.772,0.763,1.0
0.0,0.772,0.763,1.0
0.0,0.772,0.763,1.0
0.0,0.772,0.763,1.0
0.0,0.772,0.763,1.0
0.0,0.772,0.763,1.0
0.0,0.772,0.762,1.0
0.0,0.772,0.762,1.0
0.0,0.409,0.407,0.0
0.0,0.284,0.28,0.0
0.0,0.217,0.214,0.0
0.0,0.207,0.205,0.0
0.0,0.203,0.202,0.0
0.0,0.197,0.196,0.0
0.0,0.195,0.194,0.0
0.0,0.169,0.168,0.0
0.0,0.169,0.167,0.0
0.0,0.147,0.147,0.0
0.0,0.134,0.132,0.0
0.0,0.119,0.117,0.0
0.0,0.113,0.113,0.0
