Scenario_num,b,q,meann,stdev,delta,poor_reliability
1,0.19330981,3.049281843,0.017430754,0.002061759,0.953092397,n
2,0.141181536,2.584491318,0.012044268,0.00243013,0.950441986,n
3,0.11164021199999999,2.9687335389999996,0.010126115,0.003692125,0.956457199,n
4,0.27228052199999997,2.9718578939999998,0.03300274,0.004599415,0.931232823,n
5,0.42,2.0,0.02,0.0017,0.98,n
6,0.276,3.049,0.0039,0.0039,0.9309999999999999,n
7,0.135,2.0255,0.0407,0.003,0.9613,y
8,0.2704,2.4783,0.0169,0.0039,0.9631,n
9,0.1009,3.6789,0.0187,0.0037,0.9317,n
10,0.3788345105953582,3.0204339051463167,0.021402623612512613,0.0014540867810292634,0.9451109989909184,y
11,0.4307517658930373,2.0340565085771947,0.012078708375378406,0.0029313824419778005,0.9540413723511604,n
12,0.2788849646821393,2.9901614530776994,0.0422300706357215,0.001768920282542886,0.9526791120080726,n
13,0.3692986881937437,4.453329969727548,0.01046417759838547,0.0016760847628657922,0.9439505549949546,y
14,0.4466448032290615,2.303985872855701,0.0446518668012109,0.00460242179616549,0.96726034308779,n
15,0.3286831483350152,2.972502522704339,0.03924318869828456,0.0019707366296670037,0.9743239152371342,n
16,0.16268920282542887,3.815085771947528,0.0206760847628658,0.0022694248234106963,0.9456659939455097,n
17,0.40885469223007065,4.135469223007064,0.01732593340060545,0.004392532795156407,0.9434460141271444,n
18,0.3982593340060545,3.8478809283551967,0.026407669021190718,0.0035045408678102924,0.9709939455095864,y
19,0.4406407669021191,4.085015136226033,0.015469223007063573,0.004683148335015136,0.9522754793138244,y
20,0.2608728557013118,2.478052472250252,0.022694248234106963,0.0028143289606458125,0.9553027245206862,y
21,0.2587537840565086,4.433148335015137,0.04901109989909183,0.004537840565085772,0.9536377396569122,n
22,0.11077194752774976,4.180877901109991,0.04525731584258325,0.0032542885973763872,0.9443541876892028,n
23,0.11995459132189708,3.958879919273461,0.030686175580222002,0.0044167507568113025,0.9393087790111,n
24,0.4148587285570131,3.2373864783047432,0.047477295660948535,0.002612512613521695,0.9447578203834512,n
25,0.3837790110998991,2.0037840565085774,0.029515640766902117,0.0013572149344096872,0.9694803229061554,n
26,0.2463925327951564,2.846367305751766,0.034439959636730584,0.004868819374369325,0.9420837537840564,n
27,0.3873107971745712,2.6773461150353186,0.0339556004036327,0.0011796165489404641,0.962063572149344,n
28,0.4427598385469223,2.165237134207871,0.02717457114026236,0.0018294651866801208,0.9518213925327952,n
29,0.14891523713420787,2.127396569122099,0.03286579212916246,0.003633703329969728,0.9715993945509588,n
30,0.3014883955600404,3.8428355196770942,0.020474268415741674,0.004792129162462159,0.9604994954591322,n
31,0.1001765893037336,2.273713420787084,0.03875882946518668,0.0023138244197780018,0.966856710393542,n
32,0.3968466195761856,2.374621594349142,0.01615539858728557,0.0019424823410696265,0.9780070635721492,n
33,0.11289101917255298,2.765640766902119,0.04614530776992937,0.004194752774974772,0.9403683148335016,n
34,0.33009586276488395,2.9851160443995965,0.02180625630676085,0.003242179616548941,0.9534863773965692,n
35,0.17505045408678105,2.079465186680121,0.0318970736629667,0.0033995963673057517,0.9471291624621596,n
36,0.22873360242179616,4.153128153380424,0.04755802219979819,0.001986881937436933,0.9545459132189708,y
37,0.40638244197780016,2.644550958627649,0.04864783047426842,0.0011029263370332997,0.9373915237134208,n
38,0.31773461150353177,3.2045913218970736,0.0198284561049445,0.004780020181634714,0.9708425832492432,y
39,0.3085519677093844,2.8715943491422804,0.010908173562058528,0.0020110998990918267,0.930933400605449,n
40,0.3749495459132189,3.3559535822401614,0.020393541876892025,0.0011109989909182645,0.9675630676084764,n
41,0.1362008072653885,3.207114026236125,0.04662966700302725,0.0010383451059535825,0.9393592330978808,n
42,0.3410443995963673,3.477043390514632,0.03157416750756811,0.0022613521695257315,0.9569172552976792,y
43,0.44558526740666,3.5602926337033303,0.021765893037336025,0.0011634712411705348,0.9773007063572148,y
44,0.3813067608476286,3.1970232088799198,0.048768920282542885,0.0016437941473259336,0.9611553985872856,n
45,0.4325176589303733,3.5628153380423813,0.04243188698284561,0.0015267406659939455,0.9613572149344096,n
46,0.1287840565085772,3.2853178607467206,0.033915237134207875,0.004747729566094854,0.932547931382442,n
47,0.14679616548940466,4.0749243188698285,0.04323915237134208,0.002386478304742684,0.9519223007063572,n
48,0.40567608476286576,4.4356710393541885,0.033551967709384456,0.003992936427850656,0.9486427850655904,n
49,0.2873612512613521,2.2661453077699294,0.019101917255297682,0.0048284561049445,0.9332038345105954,y
50,0.2753531786074672,3.931130171543895,0.03904137235116045,0.004481331987891019,0.96529263370333,n
51,0.3247981836528759,4.40539858728557,0.014096871846619575,0.0038153380423814327,0.9495509586276488,n
52,0.157744702320888,3.7419273461150353,0.026205852674066603,0.0045499495459132185,0.9361806256306762,n
53,0.4183905146316852,2.747981836528759,0.04767911200807266,0.0015913218970736627,0.9538900100908174,n
54,0.4017911200807265,4.412966700302723,0.01946518668012109,0.002334006054490413,0.9795711402623613,y
55,0.20436427850655906,2.1904641775983853,0.025075681130171543,0.001958627648839556,0.9797225025227044,y
56,0.17646316851664984,3.3988395560040363,0.0141372351160444,0.0020716448032290615,0.9454137235116044,n
57,0.10653380423814328,3.7394046417759843,0.01401614530776993,0.0048486377396569115,0.9674117053481333,n
