U in s1,Po  in s1,In  in s1,Re  in s1,group,decisions,goals
0.719852943356458,5.667271416819225,0.5353535353535354,0.050700000000000044,0,"[0.1        0.1        0.1        0.1        0.09993979 0.1
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.07188716
 0.1        0.1        0.05323179 0.1        0.1        0.1
 0.00016021 0.1        0.09547802 0.0001     0.00016021 0.1
 0.1        0.00016021 0.1        0.1        0.1        0.1
 0.08239787 0.1        0.0001     0.1        0.1        0.1
 0.00565764 0.00016021 0.07362106 0.04472524 0.00011269 0.1
 0.00016021 0.03634752 0.0001     0.1        0.04074178 0.1
 0.1        0.0829933  0.05985722 0.0762002  0.0001     0.1
 0.1        0.06978403 0.08618411 0.0001     0.0434593  0.00016021
 0.0001     0.0165165  0.00016021 0.0001     0.0001     0.0001
 0.0001     0.01121684 0.00016021 0.04051802 0.1        0.02899854
 0.00686005 0.00016021 0.00016021 0.05700262 0.00016021 0.00016021
 0.03421466 0.06833337 0.00016021 0.05237306 0.09550386 0.09963848
 0.1        0.00016021 0.01952275 0.07915387 0.00792155 0.00010503
 0.00016021 0.09993979 0.0615173  0.08109465]",[[-0.8457528   5.75708485 -1.         -0.0507    ]]
0.006845868986219364,0.09899430960162499,1.0,1.0000000000000007,1,"[0.00077489 0.00091909 0.00133481 0.0007749  0.00098966 0.00058473
 0.00109564 0.0009789  0.00072736 0.00080318 0.00067587 0.00054157
 0.00072117 0.00089408 0.0004915  0.00037755 0.00097809 0.00088578
 0.00080821 0.00080412 0.00048847 0.00108431 0.00109148 0.00063392
 0.00084103 0.000821   0.00058195 0.00085008 0.00091677 0.00091831
 0.00086192 0.00082387 0.00072873 0.00091663 0.00093321 0.00054352
 0.00118223 0.00050027 0.00086058 0.0004905  0.0007168  0.00075252
 0.00084176 0.00101658 0.00080786 0.0005529  0.00091692 0.000487
 0.00091719 0.00051947 0.00045997 0.00064653 0.00076088 0.00080931
 0.00067787 0.00060987 0.00067702 0.00061198 0.00080258 0.00041598
 0.00075861 0.00054635 0.00061375 0.00066968 0.0007382  0.0004873
 0.0006273  0.00091836 0.0008504  0.00122044 0.00092759 0.00062513
 0.00029502 0.0009112  0.00065783 0.00053896 0.00099379 0.00051509
 0.00066563 0.0008059  0.00072957 0.0003999  0.00131853 0.00099635
 0.00060569 0.00091874 0.0005726  0.00095431 0.00067937 0.000536
 0.00068111 0.00067521 0.00083803 0.00078792 0.00084752 0.00055325
 0.00096801 0.00106802 0.0007602  0.00082129]",[[-8.45752800e-04  9.53342272e-02 -1.00000000e+00 -1.00000000e+00]]
0.0008457666676057504,0.09533086140787202,1.0,1.0000000000000007,2,"[0.00010002 0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.00010001 0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.00010001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.00010001 0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.00010001 0.0001     0.0001     0.00010001 0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.00010002
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001    ]",[[-8.45752800e-04  9.50529294e-02 -1.00000000e+00 -1.00000000e+00]]
0.001242170326471105,0.09566941766071704,1.0,1.0000000000000007,3,"[0.00010012 0.00019713 0.00019713 0.00010009 0.00019713 0.00019713
 0.00010017 0.00019713 0.00010002 0.00010011 0.00019713 0.00010013
 0.00010015 0.00019713 0.00010012 0.0002938  0.00019713 0.0001001
 0.00010006 0.00010003 0.00019713 0.00019713 0.00010009 0.00010015
 0.00010004 0.00010009 0.00019713 0.00010012 0.00019713 0.00010007
 0.00010002 0.00019713 0.00010001 0.00010008 0.00010007 0.00019713
 0.00010017 0.00029476 0.00010008 0.00019713 0.00019713 0.00019713
 0.00010003 0.00019672 0.00010008 0.00010012 0.00019714 0.00019713
 0.0001001  0.00010002 0.00010008 0.00010003 0.00010003 0.00019713
 0.00010009 0.00019713 0.00010007 0.00010003 0.00019713 0.00019713
 0.00010015 0.00019714 0.00010007 0.00010011 0.00010009 0.00010007
 0.00025253 0.00010032 0.0001001  0.00010015 0.0001001  0.00019713
 0.00010006 0.00010008 0.00010012 0.00010006 0.00019713 0.00019713
 0.00010002 0.00019713 0.00010012 0.00010004 0.00010006 0.00019713
 0.00019713 0.00010004 0.00010009 0.00010008 0.00010007 0.00019713
 0.00019713 0.00010017 0.00019714 0.00010008 0.00010012 0.00019713
 0.00019713 0.00010018 0.00010002 0.00010007]",[[-8.45752800e-04  9.51256496e-02 -1.00000000e+00 -1.00000000e+00]]
0.37464445719023876,5.451611006172973,0.6161616161616161,0.10920000000000007,4,"[0.05287085 0.05287085 0.05287085 0.05287085 0.05287085 0.05287085
 0.05287085 0.04983856 0.05287085 0.05287085 0.05287085 0.05287085
 0.05287085 0.05287085 0.0017901  0.05287085 0.05287085 0.05287085
 0.05287085 0.00436904 0.05287085 0.05287085 0.04294614 0.05287085
 0.05287085 0.0448331  0.05287085 0.03056665 0.05287085 0.05287085
 0.05287085 0.03477942 0.05287085 0.05287085 0.0001     0.05287085
 0.04748592 0.02773696 0.00683949 0.05287085 0.05287085 0.05287085
 0.05272863 0.0001     0.05287085 0.00034167 0.05287085 0.00681539
 0.0001     0.04188362 0.05287085 0.0001     0.0001     0.0001
 0.02281748 0.02118668 0.0001     0.0001     0.05287085 0.0001
 0.03831777 0.0001     0.0001     0.0001     0.0001     0.0001
 0.04542427 0.02505819 0.00428139 0.0001     0.0001     0.0001
 0.0001     0.0001     0.04464262 0.00933324 0.04772374 0.0001
 0.0001     0.0001     0.0001     0.0001     0.03247707 0.0085546
 0.0001     0.00860038 0.04457389 0.0001     0.0001     0.0001
 0.02445065 0.0001     0.01226381 0.0001     0.05287085 0.0001
 0.0001     0.0001     0.0001     0.0001    ]",[[-0.8457528   0.09512565 -1.         -1.        ]]
0.6081175890538862,5.48503198716129,0.6262626262626263,0.0563000000000001,5,"[0.09853696 0.09809643 0.09783241 0.09830676 0.09853239 0.09779093
 0.09793148 0.09750941 0.09849862 0.09858088 0.09752381 0.09888834
 0.09757816 0.09841548 0.09791579 0.09845494 0.09871332 0.06325881
 0.09781444 0.03739637 0.06785485 0.09801677 0.00183309 0.07124353
 0.07044416 0.09779035 0.02987892 0.00134831 0.09790255 0.00377139
 0.01344858 0.00147122 0.09828894 0.00103286 0.03222575 0.00102521
 0.00135771 0.00107567 0.00211087 0.00143698 0.00175606 0.05872275
 0.08717268 0.09835503 0.0014285  0.0012413  0.00732272 0.00142993
 0.00149358 0.02332008 0.01037637 0.04026023 0.00125287 0.00208534
 0.09750603 0.04280755 0.0009663  0.00126076 0.02660615 0.0016373
 0.00080674 0.00154992 0.00078591 0.00148965 0.00105481 0.01104712
 0.00169308 0.09867108 0.00133987 0.03705668 0.00189848 0.00168559
 0.00088616 0.00117519 0.00103597 0.00191458 0.02456609 0.00154177
 0.00198024 0.00113516 0.01742889 0.0010041  0.00145578 0.00090554
 0.0012736  0.00190579 0.00105027 0.00070057 0.06472311 0.00129401
 0.000699   0.01033379 0.00197923 0.06387037 0.00101259 0.00136639
 0.00754169 0.0016229  0.00176029 0.0008801 ]",[[-0.8457528  0.        -0.        -0.       ]]
0.668952198372086,5.623871502120992,0.47474747474747475,0.056000000000000105,6,"[0.09903919 0.09856573 0.09775975 0.09797926 0.09846842 0.09740765
 0.09838232 0.09867232 0.09904845 0.09839607 0.09855594 0.0979247
 0.09847483 0.09893909 0.04142421 0.09904808 0.09808094 0.00198351
 0.09836538 0.09915142 0.0688126  0.09836174 0.09823361 0.00129181
 0.09835846 0.09884316 0.00118001 0.09845092 0.09875123 0.00121971
 0.09826253 0.00200883 0.0006346  0.0003932  0.09859789 0.09779287
 0.0953853  0.09836737 0.09808063 0.00127438 0.07455995 0.00121775
 0.09865762 0.00154681 0.09272223 0.01030836 0.09884318 0.00134396
 0.09884988 0.07591211 0.00167053 0.09884855 0.00112981 0.00143687
 0.03829802 0.09750493 0.00093635 0.07881431 0.09858566 0.00135309
 0.00175347 0.01656522 0.06555883 0.05910099 0.0018368  0.09382307
 0.00100209 0.00115778 0.09874499 0.04328503 0.00113626 0.082092
 0.06044421 0.00096687 0.00135304 0.00136373 0.00970329 0.09874782
 0.00122177 0.00174781 0.00182834 0.04983781 0.00221221 0.00099186
 0.01109762 0.00051142 0.00078105 0.0012633  0.05761975 0.04824025
 0.06311989 0.00694932 0.00106704 0.09827569 0.09743599 0.00151543
 0.0014305  0.00029389 0.07989592 0.09818852]",[[-0.6343146   0.02378141 -0.         -0.        ]]
0.6503890460358124,5.576248350098893,0.5353535353535354,0.05910000000000014,7,"[0.09831747 0.09746217 0.09813189 0.09636069 0.09767269 0.09822833
 0.09794981 0.09711479 0.09833077 0.09854013 0.09825005 0.09824943
 0.09661558 0.00296283 0.09737679 0.0988343  0.09876733 0.097755
 0.09754659 0.05419274 0.09715238 0.06582147 0.09749844 0.06726677
 0.09693122 0.00315834 0.06182271 0.08460125 0.0971258  0.03786121
 0.06037182 0.03115329 0.09785093 0.00327941 0.00193977 0.09785853
 0.08380778 0.09748581 0.01705246 0.0015025  0.09756562 0.07698644
 0.00210047 0.09823989 0.0978899  0.00218951 0.00272308 0.00257224
 0.00197561 0.00303707 0.00181285 0.09778061 0.06486931 0.00196704
 0.00123992 0.05534343 0.00214078 0.0021604  0.00168718 0.00230662
 0.00244404 0.06472676 0.00189915 0.00329375 0.00232994 0.01764524
 0.00231644 0.00163713 0.00226417 0.00303576 0.00165094 0.09792365
 0.0017948  0.00143503 0.04666663 0.00187702 0.00252874 0.0013633
 0.00275775 0.03756425 0.00214534 0.00275385 0.00136082 0.00317467
 0.00303009 0.00186261 0.06740942 0.00190665 0.09838971 0.00119148
 0.00207066 0.04092425 0.03632389 0.00211355 0.04211069 0.00268179
 0.00277716 0.00224986 0.09776752 0.05762795]",[[-0.6343146  0.        -0.25      -0.       ]]
0.8169557161916928,5.744219273087969,0.7878787878787878,0.05700000000000012,8,"[0.09835963 0.09779487 0.09788595 0.09786569 0.09859783 0.09869013
 0.0987584  0.09794721 0.09780107 0.09785392 0.09924874 0.09845576
 0.09790098 0.09790161 0.09795653 0.0985012  0.09838837 0.09810213
 0.09865896 0.09850787 0.0981511  0.09797803 0.09858076 0.09810243
 0.0982522  0.09802653 0.09847645 0.09794572 0.09792225 0.09807271
 0.09813888 0.09884909 0.09843471 0.09803821 0.09831501 0.08137047
 0.09824068 0.05792467 0.09892337 0.09820288 0.09848277 0.09793197
 0.0980469  0.09783536 0.09836725 0.09865523 0.09800204 0.09820283
 0.0045143  0.09572593 0.09791621 0.09786615 0.09793806 0.09814196
 0.09863572 0.09872843 0.0984721  0.09804085 0.09850428 0.09752031
 0.09857879 0.09829303 0.09818771 0.0983287  0.0976986  0.0979467
 0.09862655 0.01950123 0.09834261 0.00398128 0.09869223 0.0985945
 0.09872218 0.09770187 0.09833556 0.08475244 0.09735037 0.03181851
 0.05411702 0.09859021 0.09849255 0.0191366  0.0979276  0.05556881
 0.0979931  0.05481671 0.09845859 0.09805319 0.09870589 0.0974958
 0.09864359 0.08588107 0.09836309 0.09783209 0.02133035 0.05878027
 0.00336276 0.09778858 0.09846801 0.09788984]",[[-0.6343146  0.        -0.        -0.25     ]]
0.7297474556884602,5.671326364716931,0.5858585858585859,0.05490000000000009,9,"[0.09923332 0.09877451 0.09873928 0.09885036 0.09819428 0.09919311
 0.09959016 0.09898587 0.09933247 0.09944987 0.09891716 0.09870171
 0.09837116 0.09948655 0.08780359 0.08484264 0.09904925 0.09986117
 0.09973436 0.09924273 0.09942624 0.09866064 0.09929625 0.09873587
 0.09924553 0.09879498 0.07183892 0.06999435 0.09268219 0.09850222
 0.09885197 0.02760665 0.09945725 0.01042445 0.00120601 0.09017592
 0.00116551 0.00163773 0.09924381 0.09861133 0.08194774 0.08360996
 0.00089052 0.08438918 0.08224123 0.016176   0.04080668 0.03502746
 0.04162089 0.08311133 0.09909736 0.06268635 0.00158345 0.0008607
 0.00657976 0.09952368 0.00069577 0.00164491 0.09933649 0.00720628
 0.01673438 0.05204044 0.07125499 0.03986262 0.00010453 0.09336062
 0.09926557 0.00167495 0.07114323 0.00182732 0.07037126 0.07956945
 0.09897816 0.01726822 0.00114432 0.00125207 0.02827007 0.0991109
 0.00059061 0.09793794 0.09947366 0.09911371 0.00106968 0.00090802
 0.04989295 0.0010629  0.01163585 0.01760595 0.00197142 0.02080156
 0.00138745 0.00178695 0.03734584 0.04324094 0.09719951 0.08986628
 0.04022959 0.09914693 0.00143447 0.09885672]",[[-0.4228764   0.04756282 -0.         -0.        ]]
