rdc_u,rdc_rel,rdc_pol,rdc_in
1.0,0.777,0.767,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.765,1.0
1.0,0.777,0.765,1.0
1.0,0.777,0.765,1.0
1.0,0.777,0.765,1.0
1.0,0.777,0.764,1.0
1.0,0.777,0.764,1.0
1.0,0.756,0.743,1.0
1.0,0.746,0.737,1.0
1.0,0.708,0.703,1.0
1.0,0.708,0.701,1.0
1.0,0.702,0.699,1.0
1.0,0.699,0.69,1.0
1.0,0.69,0.682,1.0
1.0,0.607,0.603,1.0
1.0,0.606,0.602,0.0
1.0,0.573,0.57,0.0
1.0,0.531,0.528,0.0
1.0,0.397,0.395,0.0
1.0,0.373,0.369,0.0
1.0,0.344,0.336,0.0
1.0,0.155,0.155,0.0
1.0,0.136,0.135,0.0
1.0,0.13,0.13,0.0
1.0,0.13,0.129,0.0
1.0,0.127,0.127,0.0
1.0,0.127,0.127,0.0
1.0,0.127,0.126,0.0
0.673,0.125,0.124,0.0
0.462,0.123,0.123,0.0
0.459,0.121,0.119,0.0
0.381,0.118,0.118,0.0
0.0,0.118,0.118,0.0
0.0,0.118,0.117,0.0
0.0,0.118,0.115,0.0
0.0,0.117,0.115,0.0
0.0,0.115,0.115,0.0
0.0,0.114,0.114,0.0
0.0,0.114,0.114,0.0
0.0,0.114,0.113,0.0
0.0,0.114,0.113,0.0
0.0,0.113,0.113,0.0
0.0,0.111,0.111,0.0
0.0,0.111,0.109,0.0
0.0,0.11,0.108,0.0
0.0,0.11,0.108,0.0
0.0,0.108,0.106,0.0
