U in s1,U in s2,U in s3,U in s4,U in s5,Po  in s1,Po  in s2,Po  in s3,Po  in s4,Po  in s5,In  in s1,In  in s2,In  in s3,In  in s4,In  in s5,Re  in s1,Re  in s2,Re  in s3,Re  in s4,Re  in s5
0.7711317160684575,0.7364837259359451,0.8198627862397434,0.5539041281424594,1.4215772647041942,5.687542139675392,7.682090521167327,9.701721919644415,4.080878495709478,2.2731229979404315,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.05060000000000005,0.030000000000000075,0.03999999999999998,0.06080000000000014,0.07
0.6933334276224844,0.6618084536905026,0.7375433077502255,0.4941339037786525,1.277726032658129,5.715701240403661,7.698814264467612,9.639859708719436,4.0961641771444395,2.276443172643664,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.06000000000000015,0.03999999999999998,0.04950000000000003,0.07,0.07310000000000007
0.05104260314404298,0.04954895885325447,0.053108766036005534,0.04122444163508217,0.07668414865319695,0.13348011382451888,4.487863479065581,0.15823913340900092,0.16305755151908774,0.09342844333213081,1.0,1.0,1.0,1.0,1.0,1.0000000000000007,0.7637,1.0000000000000007,1.0000000000000007,1.0000000000000007
0.7693465838859771,0.7356372523519938,0.8165456265350253,0.5558259053352453,1.383035166981974,5.7090922737019785,7.714142354181888,9.701928199980635,4.098663300102374,2.2796012042849143,0.6464646464646465,0.6464646464646465,0.6464646464646465,0.6464646464646465,0.6464646464646465,0.05100000000000006,0.030000000000000075,0.03999999999999998,0.06110000000000012,0.06990000000000002
0.0008841082650226356,0.0008387756573157556,0.0009486966534272967,0.0006089144392422337,0.0018063600791628637,0.09553041602834876,0.10970475099344831,0.10286838478834573,0.1311251190685016,0.055654008076305904,1.0,1.0,1.0,1.0,1.0,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000007
0.6260680765679915,0.6031869150296084,0.6576840852939171,0.4764345586302262,1.0082656880984837,5.592363260194837,7.567304490751755,9.51612138833652,4.072242477069701,2.2687159573273936,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.050800000000000047,0.030000000000000075,0.03999999999999998,0.060200000000000156,0.06990000000000002
0.039737848627030836,0.03838528887522203,0.041615131400480204,0.030968648403251964,0.06325589575163569,0.14092915388726462,1.924408637457072,0.15487244386639176,0.1715335823153923,0.0925568334418431,0.9797979797979798,0.9797979797979798,0.9797979797979798,0.9797979797979798,0.9797979797979798,1.0000000000000007,0.9170000000000004,1.0000000000000007,1.0000000000000007,1.0000000000000007
0.37811371575821745,0.36454264183446694,0.3970751384448511,0.29168946617047564,0.6217546326185004,5.515420689616923,7.466189768445338,9.388411579767947,3.96163881735459,2.1618655637708604,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.08869999999999989,0.03900000000000002,0.05000000000000004,0.10000000000000007,0.10180000000000008
0.7837428134884081,0.74739908765478,0.8350513247238476,0.557742374773713,1.4865054420759398,5.746506955079315,7.781349279593439,9.784861152149642,4.106384924188695,2.2832841793273366,0.6565656565656566,0.6565656565656566,0.6565656565656566,0.6565656565656566,0.6565656565656566,0.051200000000000044,0.030000000000000075,0.03999999999999998,0.060800000000000146,0.07
0.5397595410497193,0.5231583498783711,0.562475475938397,0.42817073527270616,0.8024612724437501,5.530712098813592,7.393653944897993,9.279036626197932,3.9848676324158516,2.182330349294394,0.6464646464646465,0.6464646464646465,0.6464646464646465,0.6464646464646465,0.6464646464646465,0.06000000000000015,0.03770000000000001,0.03999999999999998,0.06610000000000005,0.07
