Scenario_num,b,q,mean,std,delta
1,0.276,3.049,0.0039,0.0039,0.931
2,0.135,2.0255,0.003,0.00243013,0.9613
3,0.2704,2.4783,0.0039,0.003692125,0.9631
4,0.1009,3.6789,0.0037,0.004599415,0.9317
5,0.42,2,0.02,0.0017,0.98
6,0.28660804020100505,3.3605527638190957,0.03936683417085428,0.0027965075376884425,0.9661055276381909
7,0.19339195979899498,3.1394472361809047,0.040050251256281415,0.004492939698492463,0.9473115577889447
8,0.24967336683417085,3.10678391959799,0.013075376884422112,0.003319924623115579,0.9744974874371859
9,0.3970603015075377,2.830402010050251,0.01271356783919598,0.0025347989949748746,0.9656532663316583
10,0.2732412060301508,3.134422110552764,0.024452261306532663,0.00458640703517588,0.9618844221105528
11,0.1726381909547739,2.631909547738694,0.03221105527638191,0.003245150753768845,0.9558040201005026
12,0.27394472361809047,2.3354271356783918,0.011025125628140705,0.0012823366834170855,0.9733417085427136
13,0.33515075376884423,3.182160804020101,0.013959798994974876,0.00146927135678392,0.9503266331658292
14,0.3967085427135678,2.7173366834170856,0.04624120603015076,0.002427311557788945,0.9738442211055276
15,0.1413316582914573,4.194723618090452,0.014241206030150754,0.0024179648241206037,0.9566582914572864
16,0.2813316582914573,4.438442211055277,0.031728643216080404,0.00042243718592964826,0.9794723618090452
17,0.3221356783919598,3.0615577889447234,0.03755778894472362,0.0006514321608040201,0.9531909547738694
18,0.44525125628140705,2.1771356783919598,0.02646231155778895,0.0012309296482412061,0.9667587939698492
19,0.10510050251256282,2.9560301507537687,0.04531658291457287,0.0030301758793969853,0.9474120603015076
20,0.2531909547738693,3.448492462311558,0.025216080402010052,0.0005906783919597991,0.9321356783919599
21,0.1656030150753769,2.1821608040201004,0.03237185929648241,0.0016001256281407037,0.9613316582914573
22,0.24756281407035177,3.621859296482412,0.026100502512562816,0.00152535175879397,0.953391959798995
23,0.22258793969849247,4.164572864321608,0.03442211055276382,0.003609673366834172,0.9743467336683417
24,0.2662060301507538,3.1545226130653266,0.018542713567839198,0.004390125628140704,0.9360050251256282
25,0.15680904522613065,3.3957286432160805,0.013316582914572866,0.004329371859296483,0.9509296482412061
26,0.11530150753768845,3.0364321608040203,0.045678391959799,0.004988316582914573,0.9429396984924624
27,0.31580402010050257,3.9309045226130657,0.01942713567839196,0.004212537688442212,0.9432412060301508
28,0.20675879396984925,4.094221105527638,0.027949748743718597,0.002908668341708543,0.933391959798995
29,0.40937185929648245,3.7977386934673367,0.036150753768844225,0.0006000251256281408,0.952035175879397
30,0.2078140703517588,2.285175879396985,0.03217085427135679,0.0038854020100502523,0.9613819095477387
31,0.26585427135678397,4.330402010050252,0.020753768844221105,0.0023385175879396987,0.9489195979899497
32,0.1427386934673367,3.5087939698492465,0.01584924623115578,0.0008290201005025128,0.9519346733668342
33,0.23665829145728645,3.4886934673366836,0.0343819095477387,0.0017730402010050256,0.9709798994974874
