Scenario_num,b,q,meann,stdev,delta
7,0.135,2.0255,0.0407,0.003,0.9613
22,0.11077194752774976,4.180877901109991,0.04525731584258325,0.0032542885973763872,0.9443541876892028
23,0.11995459132189708,3.958879919273462,0.030686175580222,0.004416750756811303,0.9393087790110999
29,0.14891523713420787,2.127396569122099,0.03286579212916246,0.003633703329969728,0.9715993945509588
31,0.1001765893037336,2.273713420787084,0.03875882946518668,0.0023138244197780018,0.966856710393542
33,0.11289101917255298,2.765640766902119,0.04614530776992937,0.004194752774974772,0.9403683148335016
35,0.17505045408678105,2.079465186680121,0.0318970736629667,0.0033995963673057517,0.9471291624621596
41,0.1362008072653885,3.207114026236125,0.04662966700302725,0.0010383451059535825,0.9393592330978808
46,0.1287840565085772,3.2853178607467206,0.033915237134207875,0.004747729566094854,0.932547931382442
47,0.14679616548940466,4.0749243188698285,0.04323915237134208,0.002386478304742684,0.9519223007063572
55,0.20436427850655906,2.1904641775983853,0.025075681130171543,0.001958627648839556,0.9797225025227044
58,0.14856205852674068,3.1415237134207867,0.03779011099899092,0.00312108980827447,0.9746770938446014
66,0.1432643794147326,4.160696266397578,0.041947527749747734,0.0015711402623612512,0.9781079717457114
75,0.10370837537840566,2.1147830474268416,0.0444904137235116,0.004025227043390514,0.9315388496468214
92,0.2562815338042381,2.2409182643794145,0.03742684157416752,0.0027941473259334004,0.9789656912209888
94,0.1157164480322906,2.0214429868819366,0.034682139253279516,0.002422805247225025,0.9599445005045408
95,0.1856458123107972,2.023965691220989,0.02503531786074672,0.004142280524722502,0.9311352169525732
100,0.11924823410696267,3.1869323915237127,0.02713420787083754,0.002382441977800202,0.9502068617558024
111,0.1496215943491423,2.8312310797174574,0.031049445005045407,0.004989909182643794,0.9785116044399595
116,0.27005549949545915,2.11226034308779,0.039202825428859736,0.004578203834510596,0.9502573158425832
135,0.14926841574167507,3.0456609485368316,0.029636730575176594,0.0027295660948536827,0.9685721493440969
147,0.2082492431886983,2.417507568113017,0.03254288597376388,0.0014702320887991927,0.9560090817356206
159,0.10547426841574167,2.8488900100908165,0.02152371342078709,0.0014944500504540867,0.9717507568113016
166,0.2015388496468214,2.155146316851665,0.037991927346115034,0.001530776992936428,0.9726084762865792
174,0.23155903128153385,2.041624621594349,0.046710393541876886,0.004784056508577195,0.9545963673057518
185,0.12242684157416753,4.032038345105954,0.04812310797174571,0.0018375378405650856,0.9781584258324924
187,0.12525227043390516,3.686427850655903,0.04146316851664985,0.004348133198789102,0.9764934409687184
191,0.12560544904137236,3.5729061553985875,0.037305751765893035,0.00344803229061554,0.9655953582240162
200,0.15209384460141273,2.140010090817356,0.025196770938446016,0.0032179616548940466,0.9346670030272451
215,0.2283804238143289,2.195509586276488,0.02233097880928355,0.002584258324924319,0.9642835519677094
227,0.13867305751765893,2.5133703329969728,0.02055499495459133,0.0029354187689202824,0.9655449041372351
229,0.3110242179616549,2.203077699293643,0.04214934409687185,0.0015227043390514633,0.9312361251261352
235,0.2117810292633704,2.056760847628658,0.02584258324924319,0.0031897073662966696,0.9358274470232092
236,0.16057013118062566,2.3771442986881937,0.0160343087790111,0.0018819374369323915,0.9741725529767912
239,0.12383955600403633,4.243945509586276,0.04093844601412715,0.004812310797174571,0.9312865792129162
243,0.13514127144298688,3.936175580221998,0.04372351160443996,0.0024470232088799194,0.954899091826438
245,0.16869323915237133,3.754540867810293,0.04307769929364279,0.0010343087790110998,0.9529818365287588
246,0.17681634712411706,3.837790110998991,0.04759838546922302,0.0031331987891019173,0.9752825428859736
247,0.17081231079717454,3.625882946518668,0.04247225025227044,0.0017608476286579216,0.9408224016145308
261,0.19941977800201816,2.2888496468213924,0.04182643794147326,0.0040090817356205856,0.9551513622603433
266,0.2449798183652876,2.3670534813319883,0.04428859737638749,0.003403632694248234,0.9599949545913221
283,0.2693491422805247,2.066851664984864,0.04319878910191726,0.001567103935418769,0.9556559031281534
293,0.13831987891019173,2.4578708375378406,0.013451059535822402,0.003371342078708375,0.9607013118062564
300,0.15315338042381432,2.7050958627648845,0.027497477295660943,0.003084762865792129,0.93244702320888
312,0.1884712411705348,2.1526236125126137,0.04380423814328961,0.0044974772956609494,0.9796215943491424
316,0.11677598385469225,2.9094349142280524,0.018213925327951564,0.003488395560040363,0.9410242179616548
319,0.14255802219979818,3.015388496468214,0.048809283551967717,0.003375378405650858,0.937643794147326
343,0.2636982845610495,2.3393037336024216,0.04517658930373361,0.003706357214934409,0.9538395560040364
344,0.2831231079717457,2.1702825428859738,0.03787083753784057,0.002975782038345106,0.9453128153380423
349,0.12631180625630678,3.6435418768920282,0.049091826437941466,0.0044894046417759854,0.9555045408678104
352,0.10052976791120084,2.584006054490413,0.038032290615539865,0.0010464177598385473,0.9408728557013118
354,0.1135973763874874,2.5335519677093847,0.015105953582240159,0.004957618567103935,0.961962663975782
356,0.1662209889001009,2.652119071644804,0.03036326942482341,0.0037547931382441975,0.937744702320888
360,0.10229566094853684,2.964934409687185,0.02366296670030273,0.002632694248234107,0.9736680121089808
362,0.23650353178607464,2.6647325933400605,0.046306760847628664,0.002390514631685167,0.9646871846619576
363,0.2237891019172553,2.0819878910191725,0.03686175580221998,0.002737638748738648,0.9396115035317859
364,0.10194248234106963,4.304490413723512,0.04545913218970737,0.0028183652875882945,0.960297679112008
369,0.12489909182643795,3.671291624621594,0.04081735620585268,0.004755802219979819,0.9492986881937436
373,0.10935923309788093,2.4301210898082743,0.028385469223007068,0.003613521695257315,0.9377951564076692
376,0.2276740665993945,2.208123107971746,0.04420787083753784,0.004679112008072654,0.9563118062563069
381,0.19094349142280528,2.8337537840565084,0.03484359233097881,0.002418768920282543,0.9574722502522705
382,0.19588799192734613,2.1299192734611503,0.017043390514631686,0.0048607467204843605,0.9771493440968718
389,0.11041876892028256,3.0280020181634715,0.02027245206861756,0.004223007063572149,0.9571695257315844
390,0.11253784056508576,4.4760343087790115,0.039889001009081736,0.004642785065590314,0.9440010090817356
397,0.14644298688193744,2.1097376387487388,0.038234106962663966,0.0013087790110998991,0.934313824419778
400,0.14008577194752775,2.2484863773965693,0.02991927346115035,0.0014621594349142279,0.9352219979818366
405,0.14820887991927345,2.586528758829465,0.0454994954591322,0.004618567103935419,0.9437487386478304
407,0.13372855701311806,3.136478304742684,0.04041372351160444,0.003096871846619577,0.9606508577194752
409,0.2403884964682139,2.311553985872856,0.04731584258324925,0.0049495459132189714,0.9750807265388496
420,0.15668516649848638,2.520938446014126,0.0465489404641776,0.002346115035317861,0.9445055499495458
421,0.11183148335015136,2.3720988900100908,0.04743693239152372,0.001978809283551968,0.9427901109989908
