Scenario_num,b,q,meann,stdev,delta,poor_reliability
1,0.276,3.049,0.0039,0.0039,0.9309999999999999,n
2,0.135,2.0255,0.003,0.00243013,0.9613,n
3,0.2704,2.4783,0.0039,0.003692125,0.9631,n
4,0.1009,3.6789,0.0037,0.004599415,0.9317,n
5,0.42,2.0,0.02,0.0017,0.98,n
6,0.28660804020100505,3.360552763819096,0.03936683417085428,0.0027965075376884425,0.9661055276381908,n
7,0.19339195979899496,3.1394472361809047,0.04005025125628142,0.004492939698492463,0.9473115577889448,y
8,0.24967336683417085,3.1067839195979907,0.013075376884422113,0.003319924623115579,0.974497487437186,n
9,0.3970603015075377,2.8304020100502516,0.01271356783919598,0.0025347989949748746,0.9656532663316584,n
10,0.2732412060301508,3.134422110552764,0.024452261306532663,0.004586407035175879,0.9618844221105528,n
11,0.1726381909547739,2.631909547738694,0.03221105527638191,0.003245150753768845,0.9558040201005026,y
12,0.2739447236180905,2.335427135678392,0.011025125628140705,0.0012823366834170855,0.9733417085427136,n
13,0.33515075376884423,3.182160804020101,0.013959798994974876,0.00146927135678392,0.9503266331658292,n
14,0.3967085427135678,2.7173366834170856,0.046241206030150764,0.002427311557788945,0.9738442211055276,n
15,0.1413316582914573,4.194723618090452,0.014241206030150753,0.002417964824120604,0.9566582914572864,n
16,0.2813316582914573,4.4384422110552775,0.031728643216080404,0.00042243718592964826,0.9794723618090452,n
17,0.3221356783919598,3.0615577889447234,0.03755778894472362,0.0006514321608040201,0.9531909547738694,n
18,0.4452512562814071,2.17713567839196,0.02646231155778895,0.0012309296482412061,0.9667587939698492,n
19,0.10510050251256282,2.9560301507537687,0.04531658291457287,0.0030301758793969853,0.9474120603015076,y
20,0.2531909547738693,3.4484924623115583,0.02521608040201005,0.0005906783919597991,0.93213567839196,n
21,0.1656030150753769,2.1821608040201004,0.03237185929648241,0.0016001256281407035,0.9613316582914572,y
22,0.24756281407035174,3.621859296482412,0.026100502512562816,0.00152535175879397,0.9533919597989949,n
23,0.22258793969849247,4.164572864321608,0.03442211055276382,0.003609673366834172,0.9743467336683416,n
24,0.2662060301507538,3.1545226130653266,0.0185427135678392,0.004390125628140704,0.9360050251256282,n
25,0.15680904522613065,3.3957286432160805,0.013316582914572866,0.004329371859296483,0.950929648241206,n
26,0.11530150753768845,3.0364321608040203,0.04567839195979901,0.004988316582914573,0.9429396984924624,y
