rdc_u,rdc_rel,rdc_pol,rdc_in
1.0,0.777,0.767,1.0
1.0,0.775,0.765,1.0
1.0,0.762,0.753,1.0
1.0,0.748,0.739,1.0
1.0,0.65,0.646,1.0
1.0,0.615,0.611,0.0
1.0,0.585,0.583,0.0
1.0,0.584,0.58,0.0
1.0,0.579,0.574,0.0
1.0,0.574,0.57,0.0
1.0,0.573,0.57,0.0
1.0,0.57,0.562,0.0
1.0,0.561,0.556,0.0
1.0,0.56,0.554,0.0
1.0,0.394,0.39,0.0
1.0,0.377,0.377,0.0
1.0,0.371,0.368,0.0
1.0,0.347,0.346,0.0
1.0,0.331,0.327,0.0
1.0,0.33,0.326,0.0
1.0,0.296,0.295,0.0
1.0,0.281,0.279,0.0
1.0,0.27,0.267,0.0
1.0,0.252,0.25,0.0
1.0,0.248,0.248,0.0
1.0,0.246,0.246,0.0
1.0,0.214,0.21,0.0
1.0,0.211,0.21,0.0
1.0,0.203,0.203,0.0
1.0,0.203,0.202,0.0
1.0,0.195,0.192,0.0
1.0,0.193,0.191,0.0
1.0,0.192,0.189,0.0
1.0,0.185,0.184,0.0
1.0,0.179,0.177,0.0
1.0,0.176,0.176,0.0
1.0,0.176,0.175,0.0
1.0,0.171,0.17,0.0
1.0,0.171,0.169,0.0
1.0,0.17,0.169,0.0
1.0,0.163,0.162,0.0
1.0,0.16,0.158,0.0
1.0,0.155,0.153,0.0
1.0,0.154,0.153,0.0
1.0,0.153,0.153,0.0
1.0,0.153,0.152,0.0
1.0,0.151,0.148,0.0
1.0,0.143,0.143,0.0
1.0,0.142,0.142,0.0
1.0,0.141,0.141,0.0
0.765,0.141,0.14,0.0
0.73,0.134,0.132,0.0
0.649,0.127,0.123,0.0
0.601,0.125,0.123,0.0
0.588,0.123,0.121,0.0
0.563,0.123,0.12,0.0
0.557,0.112,0.111,0.0
0.519,0.111,0.111,0.0
0.469,0.111,0.11,0.0
0.127,0.108,0.106,0.0
0.0,0.107,0.1,0.0
0.0,0.1,0.1,0.0
0.0,0.1,0.1,0.0
0.0,0.1,0.097,0.0
