rdc_u,rdc_rel,rdc_pol,rdc_in
1.0,0.777,0.765,1.0
1.0,0.777,0.765,1.0
1.0,0.777,0.764,1.0
1.0,0.762,0.756,1.0
1.0,0.754,0.739,1.0
1.0,0.753,0.738,1.0
1.0,0.751,0.738,1.0
1.0,0.741,0.731,1.0
1.0,0.739,0.73,1.0
1.0,0.739,0.728,1.0
1.0,0.735,0.727,1.0
1.0,0.735,0.725,1.0
1.0,0.735,0.724,1.0
1.0,0.728,0.722,1.0
1.0,0.708,0.704,1.0
1.0,0.701,0.697,1.0
1.0,0.699,0.696,1.0
1.0,0.698,0.69,1.0
1.0,0.679,0.675,0.0
1.0,0.679,0.67,0.0
1.0,0.569,0.561,0.0
1.0,0.552,0.549,0.0
1.0,0.546,0.537,0.0
1.0,0.535,0.53,0.0
1.0,0.529,0.521,0.0
1.0,0.485,0.482,0.0
1.0,0.384,0.382,0.0
1.0,0.371,0.367,0.0
1.0,0.277,0.276,0.0
1.0,0.249,0.248,0.0
1.0,0.219,0.219,0.0
1.0,0.217,0.214,0.0
1.0,0.195,0.195,0.0
1.0,0.191,0.189,0.0
0.721,0.167,0.166,0.0
0.666,0.156,0.156,0.0
0.627,0.152,0.151,0.0
0.624,0.151,0.151,0.0
0.582,0.151,0.151,0.0
0.0,0.142,0.142,0.0
0.0,0.139,0.137,0.0
0.0,0.136,0.135,0.0
0.0,0.132,0.13,0.0
0.0,0.129,0.128,0.0
0.0,0.128,0.127,0.0
0.0,0.122,0.122,0.0
0.0,0.12,0.118,0.0
0.0,0.116,0.115,0.0
0.0,0.115,0.114,0.0
0.0,0.113,0.113,0.0
0.0,0.112,0.111,0.0
0.0,0.112,0.111,0.0
0.0,0.111,0.111,0.0
0.0,0.11,0.109,0.0
0.0,0.107,0.106,0.0
0.0,0.107,0.106,0.0
0.0,0.102,0.1,0.0
0.0,0.1,0.1,0.0
0.0,0.1,0.1,0.0
