rdc_u,rdc_rel,rdc_pol,rdc_in
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.766,1.0
1.0,0.777,0.765,1.0
1.0,0.776,0.765,1.0
1.0,0.762,0.754,1.0
1.0,0.738,0.725,1.0
1.0,0.735,0.723,1.0
1.0,0.728,0.722,1.0
1.0,0.726,0.721,1.0
1.0,0.722,0.712,1.0
1.0,0.705,0.698,1.0
1.0,0.699,0.689,1.0
1.0,0.696,0.685,0.0
1.0,0.69,0.681,0.0
1.0,0.689,0.681,0.0
1.0,0.619,0.61,0.0
1.0,0.593,0.585,0.0
1.0,0.548,0.541,0.0
1.0,0.531,0.527,0.0
1.0,0.529,0.522,0.0
1.0,0.509,0.505,0.0
1.0,0.489,0.483,0.0
1.0,0.447,0.443,0.0
1.0,0.387,0.382,0.0
1.0,0.308,0.306,0.0
1.0,0.3,0.298,0.0
1.0,0.265,0.263,0.0
1.0,0.253,0.251,0.0
1.0,0.224,0.223,0.0
1.0,0.212,0.211,0.0
1.0,0.196,0.193,0.0
1.0,0.192,0.19,0.0
1.0,0.184,0.183,0.0
1.0,0.176,0.173,0.0
1.0,0.174,0.171,0.0
0.767,0.172,0.169,0.0
0.697,0.158,0.157,0.0
0.682,0.158,0.157,0.0
0.568,0.157,0.156,0.0
0.467,0.151,0.151,0.0
0.309,0.146,0.144,0.0
0.0,0.142,0.141,0.0
0.0,0.139,0.139,0.0
0.0,0.136,0.135,0.0
0.0,0.136,0.135,0.0
0.0,0.135,0.133,0.0
0.0,0.135,0.132,0.0
0.0,0.132,0.13,0.0
0.0,0.13,0.13,0.0
0.0,0.127,0.127,0.0
0.0,0.126,0.123,0.0
0.0,0.117,0.115,0.0
0.0,0.112,0.111,0.0
0.0,0.111,0.108,0.0
0.0,0.109,0.108,0.0
0.0,0.109,0.107,0.0
0.0,0.109,0.106,0.0
