U in s3,Po  in s3,In  in s3,Re  in s3,group,decisions,goals
0.8636070091517145,9.892380989953768,0.8585858585858586,0.03999999999999998,0,"[0.1        0.1        0.1        0.1        0.1        0.07368325
 0.1        0.1        0.1        0.09996042 0.1        0.1
 0.09998852 0.1        0.1        0.0001     0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.09996541
 0.09995999 0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.1        0.1        0.1        0.09995999
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.1        0.09997241 0.1        0.1        0.1
 0.1        0.1        0.000135   0.00014001 0.09995999 0.1
 0.09996379 0.1        0.1        0.1        0.09995999 0.09995999
 0.1        0.1        0.1        0.1        0.1        0.1
 0.1        0.0001     0.1        0.09995999 0.1        0.1
 0.09995999 0.09999951 0.0001     0.1        0.1        0.09995999
 0.09997093 0.1        0.1        0.1        0.09998656 0.09995999
 0.00014001 0.0001     0.0001     0.1        0.09995999 0.1
 0.09995999 0.00013953 0.1        0.09997114 0.1        0.1
 0.09995999 0.1        0.1        0.1       ]",[[-0.90792862  9.93388027 -1.         -0.04      ]]
0.003949973364935899,0.10668315607449476,1.0,1.0000000000000007,1,"[0.00049552 0.0004512  0.00049552 0.00049552 0.0004512  0.00049552
 0.00049552 0.00049552 0.00049552 0.00049552 0.00049552 0.00049552
 0.00049552 0.0001     0.00049552 0.0001     0.00049552 0.00049552
 0.0004512  0.0001     0.0004512  0.00049552 0.00039145 0.00049552
 0.00049552 0.00049552 0.0004512  0.00049552 0.00049552 0.00049552
 0.00023425 0.00049552 0.00018001 0.00049552 0.0001     0.00049552
 0.00049552 0.00049552 0.0004512  0.0001     0.00049552 0.0004512
 0.00034056 0.0004512  0.00049552 0.00049552 0.00049552 0.00049552
 0.0001     0.00015648 0.00049552 0.00049552 0.00049552 0.0004512
 0.0003853  0.0001     0.0004512  0.00049552 0.00049552 0.00049552
 0.0004512  0.00049552 0.00049552 0.00049552 0.00049552 0.00049552
 0.00049552 0.00049552 0.00041563 0.00049552 0.00049552 0.00047333
 0.0001     0.0001     0.0001     0.00049552 0.0004512  0.0001
 0.0004512  0.0004512  0.0001     0.00049552 0.0001     0.00049552
 0.00032875 0.0004512  0.00049552 0.0001     0.0004512  0.0004512
 0.00049552 0.0004512  0.00049552 0.00034444 0.00049552 0.00038026
 0.0004512  0.0001     0.0004512  0.0001    ]",[[-0.00291761  0.10752181 -1.         -1.        ]]
0.0009540815427758407,0.10456869401858439,1.0,1.0000000000000007,2,"[0.0001     0.000109   0.0001     0.00012392 0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.00012392 0.00012392
 0.0001     0.00012392 0.00012392 0.0001     0.0001     0.0001
 0.0001     0.00012392 0.0001     0.0001161  0.00012392 0.0001
 0.0001     0.0001     0.0001     0.00012392 0.0001     0.00011389
 0.0001     0.0001     0.00012124 0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.00012392 0.0001     0.0001
 0.0001     0.00012392 0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.00012392 0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.000114   0.0001     0.0001
 0.0001     0.00010045 0.0001     0.0001     0.0001     0.00011945
 0.0001     0.00010297 0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.00011143 0.00012392 0.0001
 0.0001     0.0001     0.00012392 0.0001     0.0001     0.00012392
 0.0001     0.0001     0.0001     0.00012392]",[[-9.07928619e-04  1.03605551e-01 -1.00000000e+00 -1.00000000e+00]]
0.0009079286189072404,0.1020465528466598,1.0,1.0000000000000007,3,"[0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001]",[[-9.07928619e-04  1.04067364e-01 -1.00000000e+00 -1.00000000e+00]]
0.20499707431581116,9.187228391798369,0.5151515151515151,0.10310000000000007,4,"[0.0001     0.05420063 0.0001     0.0001     0.05420063 0.05410316
 0.05427129 0.05420063 0.0001     0.05420063 0.00019756 0.00019756
 0.05410316 0.0001     0.00019756 0.0001     0.05420063 0.05420072
 0.05429819 0.00819939 0.00019746 0.05413676 0.0001     0.00019756
 0.0001     0.05410316 0.0001     0.00019756 0.00704768 0.05415509
 0.05410316 0.00019756 0.0001     0.00019756 0.00019756 0.0001
 0.05420072 0.0001     0.05420063 0.00019756 0.0001     0.05429819
 0.00019756 0.00019756 0.00019756 0.00019756 0.03010952 0.00019756
 0.05429819 0.01280431 0.00019756 0.02416463 0.05410316 0.00019756
 0.0001     0.00019746 0.0001     0.00019746 0.00019756 0.02684754
 0.05420063 0.05429819 0.0001     0.0001     0.00019756 0.0001
 0.00019756 0.05420063 0.0001     0.00019756 0.05410316 0.01979925
 0.0001     0.0001     0.0001     0.03372195 0.00017628 0.00019756
 0.0001     0.0001     0.00029502 0.05420063 0.00019756 0.00019746
 0.0001     0.01119006 0.00019756 0.0001     0.0001     0.05410316
 0.00019756 0.05420063 0.00013069 0.00019756 0.05410316 0.0001
 0.0001     0.0001     0.05429819 0.00019756]",[[-0.90792862  0.10406736 -1.         -1.        ]]
0.5059238388181028,9.501651584186442,0.5252525252525253,0.05000000000000004,5,"[0.09958862 0.00100261 0.09940454 0.09950462 0.09965111 0.09960274
 0.00061878 0.00787517 0.09928947 0.09935775 0.09940625 0.0995588
 0.09927053 0.00883076 0.0992826  0.0022599  0.05575951 0.00097432
 0.09935754 0.09939168 0.09945764 0.00086712 0.00077188 0.09947723
 0.00092452 0.00072037 0.09949354 0.00082308 0.09943905 0.09940533
 0.04875269 0.00078749 0.00078405 0.00058972 0.00072666 0.07893971
 0.00082177 0.00090473 0.00076384 0.09956312 0.09938695 0.00078313
 0.00099162 0.00072036 0.00059796 0.00076367 0.00079695 0.09965905
 0.08675449 0.07378347 0.00075839 0.00083977 0.00065991 0.09935441
 0.00078663 0.00080392 0.00075173 0.00077181 0.06427695 0.00085094
 0.00080523 0.09952428 0.0007875  0.0006949  0.00085646 0.00084651
 0.09955852 0.09960066 0.000863   0.09929809 0.09934992 0.09945289
 0.00082218 0.09928336 0.0009417  0.00077031 0.00085519 0.00063539
 0.00073907 0.0007908  0.07587685 0.00093812 0.00975837 0.09929371
 0.00097132 0.00076739 0.00071401 0.00843658 0.00090344 0.00080606
 0.09956402 0.00068462 0.00078356 0.09939997 0.00093942 0.09926747
 0.09936279 0.00063262 0.000943   0.09956692]",[[-0.90792862  0.         -0.         -0.        ]]
0.2137475955511785,9.220908011387902,0.6666666666666666,0.1376,6,"[0.00077857 0.09922497 0.00085511 0.00068489 0.00105549 0.00077946
 0.09960447 0.00087701 0.00065104 0.00087683 0.09931544 0.00058565
 0.00126141 0.09940632 0.09941937 0.02843625 0.00048805 0.00087651
 0.00097281 0.0005549  0.09912736 0.00074921 0.00104179 0.00094181
 0.00058068 0.09904416 0.00096346 0.00105203 0.0007493  0.00056219
 0.0010691  0.00097497 0.00084746 0.00104385 0.09932197 0.00087275
 0.00038171 0.09960525 0.00074859 0.00068129 0.09931734 0.00127836
 0.00065538 0.00078001 0.0008405  0.00048765 0.00087348 0.00067381
 0.0010708  0.00056192 0.09921826 0.00087282 0.00055953 0.00055174
 0.03429129 0.00086972 0.0005578  0.00065611 0.00068006 0.00056092
 0.00096437 0.00077756 0.09922295 0.00068307 0.04836758 0.00055766
 0.00087615 0.00055417 0.00115219 0.09922344 0.00038196 0.00058384
 0.00048848 0.00086646 0.00097575 0.00077494 0.00074513 0.00056099
 0.00055517 0.00085337 0.0006581  0.00077784 0.00087584 0.00077929
 0.00055647 0.00077636 0.00074746 0.00055384 0.09912545 0.00087765
 0.00038012 0.09922863 0.00067328 0.00058093 0.00145474 0.00114107
 0.00038972 0.00087857 0.00097159 0.00077987]",[[-0.68094646  0.02601684 -0.         -0.        ]]
0.267233576473055,9.233518665389168,0.5959595959595959,0.0899999999999999,7,"[0.00146939 0.09819527 0.0014463  0.00156875 0.00106947 0.09816938
 0.00114868 0.07555613 0.07958545 0.09850267 0.02249829 0.0011268
 0.04302434 0.06269556 0.00157818 0.00144859 0.06798851 0.09838234
 0.00109245 0.00158341 0.00166692 0.00105208 0.00134865 0.09785713
 0.00123782 0.00148068 0.09782059 0.00098018 0.00138965 0.00150831
 0.02951718 0.0013157  0.024866   0.00128481 0.00157436 0.00135965
 0.0015002  0.00119253 0.00145122 0.09871032 0.001628   0.07383315
 0.00152174 0.0013543  0.00112679 0.00089032 0.09840783 0.0013651
 0.00121078 0.0016383  0.00183243 0.00105872 0.0013726  0.00165296
 0.00124779 0.05915686 0.00144886 0.00133797 0.0979171  0.0012521
 0.00097112 0.00150152 0.09794826 0.00145159 0.00186835 0.00111985
 0.00154992 0.00144795 0.00129086 0.00113973 0.00201467 0.00112767
 0.00161341 0.00157364 0.05652737 0.0012899  0.00117472 0.00134152
 0.00104815 0.00128851 0.00159717 0.00146415 0.01550552 0.00125423
 0.00076431 0.00116223 0.00134899 0.00124284 0.05364738 0.00125877
 0.00143105 0.04658542 0.0009775  0.02571423 0.00128661 0.00098132
 0.00153253 0.00153964 0.00146752 0.00094001]",[[-0.68094646  0.         -0.25       -0.        ]]
0.3666283312225803,9.381019650633073,0.5353535353535354,0.06960000000000001,8,"[0.05187693 0.05267601 0.05173499 0.05168491 0.05142783 0.05191923
 0.05226003 0.05151115 0.05140482 0.00171027 0.05243707 0.05124969
 0.0515039  0.00192386 0.05200324 0.05172522 0.05182303 0.05188585
 0.05213985 0.00154107 0.05178174 0.00173392 0.05106823 0.05122093
 0.05122883 0.05132416 0.05093622 0.00164342 0.00235932 0.0510676
 0.03544823 0.05207291 0.05191871 0.01136968 0.05133516 0.05159489
 0.05221024 0.00152026 0.0021856  0.05145679 0.05113329 0.05090162
 0.00142984 0.05169639 0.00065358 0.05105934 0.00202775 0.05136929
 0.00147115 0.00253595 0.05196591 0.00229679 0.00263366 0.01521329
 0.00149827 0.05205949 0.05198452 0.03109201 0.00138018 0.00182419
 0.05243364 0.00166058 0.04797291 0.0017365  0.05161626 0.0519777
 0.00273603 0.00200877 0.00133923 0.00151499 0.00197459 0.05160405
 0.00237012 0.00698722 0.0511957  0.00170292 0.05187321 0.03782527
 0.00210557 0.00169469 0.0506801  0.03926234 0.00190273 0.01923381
 0.05196976 0.05130034 0.05125098 0.05153427 0.0018559  0.05125148
 0.03976914 0.05128485 0.05160211 0.05224478 0.01082915 0.02481948
 0.05220137 0.05144756 0.00159441 0.00230069]",[[-0.68094646  0.         -0.         -0.25      ]]
0.04685942943208984,2.1204911880280366,1.0,0.9196000000000002,9,"[0.00074293 0.001128   0.00833581 0.00058153 0.00820939 0.00288137
 0.00058215 0.00804369 0.00849884 0.00813482 0.00845908 0.00808002
 0.00840176 0.00850605 0.00257724 0.00814243 0.00831088 0.00840163
 0.00823454 0.00839213 0.00048055 0.00049616 0.00814561 0.00833986
 0.00833394 0.00061697 0.00067273 0.00067241 0.00820974 0.0008474
 0.00084966 0.00050762 0.00048218 0.00281684 0.0084986  0.00850223
 0.00531757 0.00040021 0.00834441 0.00833466 0.00786952 0.00054964
 0.00059234 0.00089624 0.00833123 0.00854056 0.00028878 0.00795898
 0.00849956 0.00824048 0.00843561 0.0044865  0.00852543 0.00039989
 0.000392   0.00833366 0.00048059 0.00828139 0.00378448 0.00249869
 0.00494434 0.00824    0.00838432 0.00831335 0.00064704 0.00049916
 0.0062777  0.00808585 0.00805072 0.00210682 0.00062453 0.0082846
 0.00406508 0.00804392 0.00063725 0.0082357  0.00635039 0.00821968
 0.00831048 0.0006445  0.00038895 0.00038485 0.0005766  0.00595622
 0.00833627 0.00788649 0.00845894 0.0080209  0.00890354 0.00611291
 0.00852662 0.00120402 0.00057657 0.00067821 0.00062505 0.00814488
 0.00066998 0.0080453  0.00048059 0.00048058]",[[-0.45396431  0.05203368 -0.         -0.        ]]
